running time, rating, release date, studio, movie title, gross earnings, year
118,PG-13,2/11/2005,Columbia,Hitch,368100420,2005,
187,PG-13,12/14/2005,Universal,King Kong,550517357,2005,
86,PG,5/27/2005,DreamWorks,Madagascar,532680671,2005,
120,PG-13,6/10/2005,20th Century Fox,Mr. & Mrs. Smith,478207520,2005,
140,PG-13,5/19/2005,20th Century Fox / Lucasfilm,Star Wars Episode III: Revenge of the Sith,848754768,2005,
143,PG,12/9/2005,Disney,The Chronicles of Narnia: The Lion the Witch and the Wardrobe,745011272,2005,
116,PG-13,6/29/2005,Paramount / DreamWorks,War of the Worlds,591745540,2005,
142,PG,6/4/2004,Warner Bros.,Harry Potter and the Prisoner of Azkaban,795634069,2004,
115,PG-13,12/22/2004,Universal / DreamWorks,Meet the Fockers,516642939,2004,
125,PG-13,12/10/2004,Warner Bros.,Ocean's Twelve,362744280,2004,
90,PG,10/1/2004,DreamWorks,Shark Tale,367275019,2004,
93,PG,5/19/2004,DreamWorks,Shrek 2,919838758,2004,
127,PG-13,6/30/2004,Columbia,Spider-Man 2,783766341,2004,
124,PG-13,5/28/2004,Fox,The Day After Tomorrow,544272402,2004,
115,PG,11/5/2004,Disney / Pixar,The Incredibles,631442092,2004,
127,R,2/25/2004,Icon / Newmarket,The Passion of the Christ,611899420,2004,
163,R,5/14/2004,Warner Bros.,Troy,497409852,2004,
147,R,7/18/2003,Columbia,Bad Boys II,273339556,2003,
101,PG-13,5/23/2003,Universal,Bruce Almighty,484592874,2003,
100,G,5/30/2003,Disney / Pixar,Finding Nemo,867893978,2003,
143,PG-13,7/9/2003,Disney,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,2003,
109,R,7/2/2003,Warner Bros. / Columbia,Terminator 3: Rise of the Machines,433371112,2003,
154,R,12/5/2003,Warner Bros.,The Last Samurai,456758981,2003,
201,PG-13,12/17/2003,New Line,The Lord of the Rings: The Return of the King,1119929521,2003,
138,R,5/15/2003,Warner Bros.,The Matrix Reloaded,742128461,2003,
129,R,11/5/2003,Warner Bros.,The Matrix Revolutions,427343298,2003,
134,PG-13,5/2/2003,Fox,X2,407711549,2003,
133,PG-13,11/22/2002,MGM,Die Another Day,431971116,2002,
161,PG,11/15/2002,Warner Bros.,Harry Potter and the Chamber of Secrets,878643482,2002,
81,PG,3/15/2002,20th Century Fox / Blue Sky,Ice Age,383257136,2002,
88,PG-13,7/3/2002,Columbia,Men in Black II,441818803,2002,
145,PG-13,6/21/2002,DreamWorks / 20th Century Fox,Minority Report,358372926,2002,
95,PG,8/2/2002,IFC Films,My Big Fat Greek Wedding,368744044,2002,
106,PG-13,8/2/2002,Touchstone,Signs,408247917,2002,
121,PG-13,5/3/2002,Columbia / Marvel,Spider-Man,821708551,2002,
142,PG,5/16/2002,20th Century Fox / Lucasfilm,Star Wars Episode II: Attack of the Clones,649398328,2002,
179,PG-13,12/18/2002,New Line Cinema,The Lord of the Rings: The Two Towers,926287400,2002,
131,R,2/9/2001,MGM / Universal,Hannibal,351692268,2001,
152,PG,11/16/2001,Warner Bros.,Harry Potter and the Sorcerer's Stone,974733550,2001,
92,PG-13,7/18/2001,Universal,Jurassic Park III,368780809,2001,
92,G,11/2/2001,Disney / Pixar,Monsters Inc,525366597,2001,
116,PG-13,12/7/2001,Warner Bros,Ocean's Eleven,450717150,2001,
183,PG-13,5/25/2001,Touchstone,Pearl Harbor,449220945,2001,
119,PG-13,7/27/2001,20th Century Fox,Planet of the Apes,362211740,2001,
90,PG,5/18/2001,DreamWorks,Shrek,484409218,2001,
178,PG-13,12/19/2001,New Line Cinema,The Lord of the Rings: The Fellowship of the Ring,870761744,2001,
130,PG-13,5/4/2001,Universal,The Mummy Returns,433013274,2001,
143,PG-13,12/22/2000,Fox,Cast Away,429632142,2000,
82,PG,5/19/2000,Disney,Dinosaur,349822765,2000,
155,R,5/5/2000,DreamWorks / Universal,Gladiator,457640427,2000,
104,PG,11/17/2000,Universal,How the Grinch Stole Christmas,345141403,2000,
108,PG-13,10/6/2000,Universal / DreamWorks,Meet the Parents,330444045,2000,
123,PG-13,5/24/2000,Paramount,Mission: Impossible II,546388105,2000,
130,PG-13,6/30/2000,Warner Bros.,The Perfect Storm,328718434,2000,
130,PG-13,7/21/2000,DreamWorks / Fox,What Lies Beneath,291420351,2000,
127,PG-13,12/15/2000,Paramount,What Women Want,374111707,2000,
104,PG-13,7/14/2000,Fox,X-Men,296339527,2000,
122,R,10/1/1999,DreamWorks Pictures,American Beauty,356296601,1999,
95,PG-13,6/11/1999,New Line Cinema,Austin Powers: The Spy Who Shagged Me,312016858,1999,
124,PG-13,5/28/1999,Universal Pictures,Notting Hill,363889678,1999,
136,PG,5/19/1999,20th Century Fox / Lucasfilm,Star Wars Episode I: The Phantom Menace,924317558,1999,
88,G,6/18/1999,Walt Disney Pictures,Tarzan,448191819,1999,
136,R,3/31/1999,Warner Bros.,The Matrix,460379930,1999,
125,PG-13,5/7/1999,Universal Pictures,The Mummy,415933406,1999,
107,PG-13,8/6/1999,Hollywood Pictures,The Sixth Sense,672806292,1999,
128,PG-13,11/19/1999,Metro-Goldwyn-Mayer,The World Is Not Enough,361832400,1999,
92,G,11/24/1999,Walt Disney Pictures / Pixar,Toy Story 2,485015179,1999,
95,G,11/25/1998,Walt Disney Pictures / Pixar,A Bug's Life,363398565,1998,
151,PG-13,7/1/1998,Touchstone Pictures,Armageddon,553709788,1998,
120,PG-13,5/8/1998,DreamWorks Pictures / Paramount Pictures,Deep Impact,349464664,1998,
85,PG-13,6/26/1998,20th Century Fox,Dr. Dolittle,294456605,1998,
139,PG-13,5/20/1998,TriStar Pictures,Godzilla,379014294,1998,
127,R,7/10/1998,Warner Bros.,Lethal Weapon 4,285444603,1998,
88,G,6/19/1998,Walt Disney Pictures,Mulan,304320254,1998,
169,R,7/24/1998,DreamWorks Pictures / Paramount Pictures,Saving Private Ryan,481840909,1998,
123,R,1/8/1999,Miramax Films / Universal Pictures,Shakespeare in Love,289317794,1998,
119,R,7/15/1998,20th Century Fox,There's Something About Mary,369884651,1998,
124,R,7/25/1997,Columbia Pictures,Air Force One,315156409,1997,
139,PG-13,12/25/1997,TriStar Pictures,As Good as It Gets,314178011,1997,
86,PG-13,3/21/1997,Universal Pictures,Liar Liar,302710615,1997,
98,PG-13,7/2/1997,Columbia Pictures,Men in Black,589390539,1997,
105,PG-13,6/20/1997,TriStar Pictures,My Best Friend's Wedding,299288605,1997,
126,PG-13,5/9/1997,Columbia Pictures,The Fifth Element,263920180,1997,
91,R,9/19/1997,Fox Searchlight Pictures,The Full Monty,257850122,1997,
129,PG-13,5/23/1997,Universal Pictures,The Lost World: Jurassic Park,618638999,1997,
194,PG-13,12/19/1997,Paramount Pictures / 20th Century Fox,Titanic,1843201268,1997,
119,PG-13,12/19/1997,United Artists,Tomorrow Never Dies,333011068,1997,
103,G,11/27/1996,Walt Disney Pictures,101 Dalmatians,320689294,1996,
115,R,6/21/1996,Warner Bros.,Eraser,242295562,1996,
145,PG-13,7/3/1996,20th Century Fox,Independence Day,817400891,1996,
139,R,12/13/1996,TriStar Pictures,Jerry Maguire,273552592,1996,
110,PG-13,5/22/1996,Paramount Pictures,Mission: Impossible,457696359,1996,
121,R,11/8/1996,Touchstone Pictures / Imagine Entertainment,Ransom,309492681,1996,
91,G,6/21/1996,Walt Disney Pictures,The Hunchback of Notre Dame,325338851,1996,
95,PG-13,6/28/1996,Universal Pictures,The Nutty Professor,273961019,1996,
136,R,6/7/1996,Hollywood Pictures,The Rock,335062621,1996,
113,PG-13,5/10/1996,Warner Bros. / Universal Pictures,Twister,494471524,1996,
140,PG,6/30/1995,Universal Pictures / Imagine Entertainment,Apollo 13,353471312,1995,
121,PG-13,6/16/1995,Warner Bros. / PolyGram,Batman Forever,336529144,1995,
100,PG,5/26/1995,Universal Pictures,Casper,287928194,1995,
131,R,5/19/1995,20th Century Fox / Cinergi Pictures,Die Hard with a Vengeance,366101766,1995,
130,PG-13,11/17/1995,United Artists,GoldenEye,352194034,1995,
104,PG,12/15/1995,TriStar Pictures,Jumanji,262797249,1995,
81,G,6/23/1995,Walt Disney Pictures,Pocahontas,346079773,1995,
127,R,9/22/1995,New Line Cinema,Seven,327311859,1995,
81,G,11/22/1995,Walt Disney Pictures / Pixar,Toy Story,361958736,1995,
135,PG-13,7/28/1995,Universal Pictures,Waterworld,264218220,1995,
141,PG-13,8/3/1994,Paramount Pictures,Clear and Present Danger,215887717,1994,
107,PG-13,12/16/1994,New Line Cinema,Dumb and Dumber,247275374,1994,
142,PG-13,7/6/1994,Paramount Pictures,Forrest Gump,677387716,1994,
117,R,4/15/1994,Gramercy Pictures / PolyGram,Four Weddings and a Funeral,245700832,1994,
123,R,11/11/1994,Warner Bros. / Geffen Pictures,Interview with the Vampire: The Vampire Chronicles,223664608,1994,
